"ZREGION";"ZREGION";"ZFUELTYP";"ZFUELTYP";"ZFUELCAT";"ZFUELCAT";"ZCOUNTRY";"ZCOUNTRY";"ZCONTI";"ZCONTI";"ZCALYEAR";"ZCALYEAR";"1ROWCOUNT0000000000000009";"ZCONSBCF00000000000000008";"ZCONSBCF00000000000000008";"ZCONSBCM00000000000000008";"ZCONSBCM00000000000000008";"ZCONSMT000000000000000007";"ZCONSMT000000000000000007";"ZCONSMTO00000000000000008";"ZCONSMTO00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTW000000000000000007";"ZCONSTW000000000000000007"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1988";"01988";"1";"0";"MT";"0";"BCF";"9";"TBD";"0";"BCM";"0";"MTO";"40";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1989";"01989";"1";"0";"MT";"0";"BCF";"10";"TBD";"0";"BCM";"0";"MTO";"42";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1990";"01990";"1";"0";"MT";"0";"BCF";"1";"TBD";"0";"BCM";"0";"MTO";"44";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1991";"01991";"1";"0";"MT";"0";"BCF";"2";"TBD";"0";"BCM";"0";"MTO";"47";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1992";"01992";"1";"0";"MT";"0";"BCF";"2";"TBD";"0";"BCM";"0";"MTO";"47";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1993";"01993";"1";"0";"MT";"0";"BCF";"10";"TBD";"0";"BCM";"0";"MTO";"44";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1994";"01994";"1";"0";"MT";"0";"BCF";"2";"TBD";"0";"BCM";"0";"MTO";"44";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1995";"01995";"1";"0";"MT";"0";"BCF";"2";"TBD";"0";"BCM";"0";"MTO";"47";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1996";"01996";"1";"0";"MT";"0";"BCF";"2";"TBD";"0";"BCM";"0";"MTO";"48";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1997";"01997";"1";"0";"MT";"0";"BCF";"11";"TBD";"0";"BCM";"0";"MTO";"49";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1998";"01998";"1";"0";"MT";"0";"BCF";"12";"TBD";"0";"BCM";"0";"MTO";"52";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1999";"01999";"1";"0";"MT";"0";"BCF";"13";"TBD";"0";"BCM";"0";"MTO";"58";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2000";"02000";"1";"0";"MT";"0";"BCF";"13";"TBD";"0";"BCM";"0";"MTO";"57";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2001";"02001";"1";"0";"MT";"0";"BCF";"14";"TBD";"0";"BCM";"0";"MTO";"60";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2002";"02002";"1";"0";"MT";"0";"BCF";"15";"TBD";"0";"BCM";"0";"MTO";"65";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2003";"02003";"1";"0";"MT";"0";"BCF";"15";"TBD";"0";"BCM";"0";"MTO";"66";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2004";"02004";"1";"0";"MT";"0";"BCF";"17";"TBD";"0";"BCM";"0";"MTO";"8";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2005";"02005";"1";"0";"MT";"0";"BCF";"17";"TBD";"0";"BCM";"0";"MTO";"73";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2006";"02006";"1";"0";"MT";"0";"BCF";"17";"TBD";"0";"BCM";"0";"MTO";"75";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2007";"02007";"1";"0";"MT";"0";"BCF";"17";"TBD";"0";"BCM";"0";"MTO";"76";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2008";"02008";"1";"0";"MT";"0";"BCF";"18";"TBD";"0";"BCM";"0";"MTO";"77";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2009";"02009";"1";"0";"MT";"0";"BCF";"19";"TBD";"0";"BCM";"0";"MTO";"84";"TWH"
"Africa";"AF";"HEL";"HEL";"Renewable";"RE";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"2010";"02010";"1";"0";"MT";"0";"BCF";"20";"TBD";"0";"BCM";"0";"MTO";"87";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1965";"01965";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1966";"01966";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1967";"01967";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1968";"01968";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1969";"01969";"1";"0";"MT";"0";"BCF";"0";"TBD";"0";"BCM";"0";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1970";"01970";"1";"0";"MT";"0";"BCF";"0";"TBD";"1";"BCM";"1";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1971";"01971";"1";"0";"MT";"0";"BCF";"0";"TBD";"1";"BCM";"1";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1972";"01972";"1";"0";"MT";"0";"BCF";"0";"TBD";"1";"BCM";"1";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1973";"01973";"1";"0";"MT";"0";"BCF";"0";"TBD";"2";"BCM";"2";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1974";"01974";"1";"0";"MT";"0";"BCF";"0";"TBD";"2";"BCM";"2";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1975";"01975";"1";"0";"MT";"0";"BCF";"0";"TBD";"2";"BCM";"2";"MTO";"0";"TWH"
